ID,eC_number,logFC,AveExpr,t,P.Value,adj.P.Val,B
BJEIHDPM_02989,3.1.-.-,-5.353974182,8.498191216,-23.75436505,1.09325943380005e-27,8.19773753563503e-26,52.66254292
BJEIHDPM_01833,inference=ab initio prediction:Prodigal:2.6,-5.212981053,8.839872923,-23.73665084,1.12900296948967e-27,8.31144702625591e-26,52.74697365
BJEIHDPM_01496,fyuA_2,-5.36729344,8.141440273,-23.72983947,1.14306210404853e-27,8.31144702625591e-26,52.55448038
BJEIHDPM_01271,nnr,-5.501128336,7.877395157,-23.70810685,1.18912485954941e-27,8.51732865817557e-26,52.42056824
BJEIHDPM_01986,2.8.3.-,-5.015262253,7.898842681,-23.68637289,1.23708497048341e-27,8.73054525492631e-26,52.45262366
BJEIHDPM_00250,inference=ab initio prediction:Prodigal:2.6,4.532364605,9.438301629,23.67301147,1.26754408101728e-27,8.81586093449557e-26,52.83390815
BJEIHDPM_01249,dbxref=COG:COG1305,-5.287740318,8.229045237,-23.66047319,1.29682224995227e-27,8.8906428250299e-26,52.45222026
BJEIHDPM_02046,2.7.13.3,-5.244168684,8.025323717,-23.63406813,1.36075717206564e-27,9.13850105512221e-26,52.35712023
BJEIHDPM_02990,2.4.2.31,-5.211923115,8.472625659,-23.62993144,1.37106079593415e-27,9.13850105512221e-26,52.45579403
BJEIHDPM_01098,dbxref=COG:COG1292,-5.188377699,7.966466026,-23.54603947,1.59808825561472e-27,1.04904417821154e-25,52.21270511
BJEIHDPM_03194,inference=ab initio prediction:Prodigal:2.6,-4.996748137,8.579401826,-23.53940138,1.61761344421033e-27,1.04904417821154e-25,52.33661893
BJEIHDPM_05207,fhuA_4,-4.917728516,8.214633934,-23.52126773,1.67220089798551e-27,1.06998561459099e-25,52.24904166
BJEIHDPM_01655,3.4.24.-,-5.113918134,8.527798684,-23.42628455,1.9904027886973e-27,1.24853839805633e-25,52.11841663
BJEIHDPM_02060,inference=ab initio prediction:Prodigal:2.6,-5.730769598,7.192188327,-23.4227742,2.00328103043004e-27,1.24853839805633e-25,51.7199431
BJEIHDPM_00183,kch,-5.420017111,6.889641119,-23.40401919,2.07354062495744e-27,1.27575916143215e-25,51.6241429
BJEIHDPM_00973,mrcB,-5.081644934,8.063466786,-23.3430379,2.31984761788026e-27,1.40923401496296e-25,51.87535726
BJEIHDPM_01040,inference=ab initio prediction:Prodigal:2.6,-5.405820269,8.152466351,-23.32892101,2.38100059895301e-27,1.42453672174007e-25,51.84414726
BJEIHDPM_01036,inference=ab initio prediction:Prodigal:2.6,-5.119878952,8.29608668,-23.32361543,2.40440663598553e-27,1.42453672174007e-25,51.8916916
BJEIHDPM_01989,1.8.2.3,-5.318320676,7.996147187,-23.31303625,2.45178046809542e-27,1.43488956907194e-25,51.79212892
BJEIHDPM_03187,fatA_1,-5.176044368,8.221416321,-23.30239226,2.50040540942689e-27,1.4457163325108e-25,51.82164135
BJEIHDPM_03099,3.4.21.53,-4.999425339,7.7972614,-23.26757742,2.66642891803234e-27,1.523356235433e-25,51.67349206
BJEIHDPM_01646,3.1.-.-,-4.715422849,8.950735915,-23.25378309,2.73528172669119e-27,1.54430788310482e-25,51.96048472
BJEIHDPM_02934,ampG,-5.19290341,8.006521708,-23.2419351,2.7958657895312e-27,1.56015813069305e-25,51.66323791
BJEIHDPM_03772,tycC_2,-4.835941575,7.886430469,-23.23092599,2.85338647227455e-27,1.57395421614317e-25,51.65499631
BJEIHDPM_00482,kup,-5.244587012,7.801006515,-23.20571684,2.98968868229489e-27,1.62402056281999e-25,51.54650262
BJEIHDPM_00157,1.4.1.2,-5.038184503,7.86487918,-23.19594839,3.04427384480037e-27,1.62402056281999e-25,51.56788744
BJEIHDPM_01995,mdtK,-5.613420614,7.379301569,-23.19570034,3.04567307051051e-27,1.62402056281999e-25,51.40717451
BJEIHDPM_01658,inference=ab initio prediction:Prodigal:2.6,-3.795496688,9.264211045,-23.16989217,3.19489826797336e-27,1.68486997670375e-25,51.88694396
BJEIHDPM_03850,"inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:D2TV88",-5.241804763,7.498666418,-23.16248323,3.23909965001953e-27,1.68961295874388e-25,51.4111794
BJEIHDPM_00782,2.4.1.33,-4.951593868,7.658902472,-23.14386444,3.35295165289765e-27,1.73019515938234e-25,51.44690118
BJEIHDPM_01101,gsiB_1,-5.075438607,7.786785485,-23.08948655,3.70939624401003e-27,1.89376516755363e-25,51.38132405
BJEIHDPM_01902,1.9.3.1,-4.937621464,8.159396336,-23.03547285,4.10177283986619e-27,2.07204293247556e-25,51.38761717
BJEIHDPM_01076,fyuA_1,-5.430809894,8.305111794,-23.00427918,4.3474040422849e-27,2.17324916655471e-25,51.28353357
BJEIHDPM_01781,mltF_2,-5.023501463,7.898273118,-22.9418064,4.88542977256443e-27,2.41702860603471e-25,51.15580766
BJEIHDPM_00425,inference=ab initio prediction:Prodigal:2.6,-5.548204095,7.819444822,-22.8985017,5.29780688199034e-27,2.59430359455833e-25,50.99122999
BJEIHDPM_04771,5.4.99.15,-5.363716601,7.840303555,-22.87841231,5.5009992820646e-27,2.65111603471859e-25,50.98688501
BJEIHDPM_00110,inference=ab initio prediction:Prodigal:2.6,-4.979542945,8.587712407,-22.87615622,5.52430930343527e-27,2.65111603471859e-25,51.16366227
BJEIHDPM_00965,1.8.5.-,-5.131505504,8.400994648,-22.85107407,5.7903440519668e-27,2.75127337677115e-25,51.06104376
BJEIHDPM_00740,hemR,-3.657880887,9.030744575,-22.84007196,5.91112576672398e-27,2.78112672103023e-25,51.26445405
BJEIHDPM_01482,ftsA_1,-5.065476474,7.89106135,-22.83404622,5.97836231034906e-27,2.78545249780244e-25,50.94769599
BJEIHDPM_01039,der_2,-5.36736858,7.906953019,-22.82807293,6.04578336125856e-27,2.78978022602691e-25,50.90758133
BJEIHDPM_00542,2.4.1.12,-5.111806005,8.89546042,-22.80999375,6.25460719213026e-27,2.84227452411582e-25,51.0932413
BJEIHDPM_01914,1.11.1.6,-5.418566872,7.743407612,-22.80414098,6.32377388030671e-27,2.84227452411582e-25,50.82962361
BJEIHDPM_03218,dbxref=COG:COG2200,-4.453216694,7.897214419,-22.79819101,6.39488893569156e-27,2.84227452411582e-25,50.91325819
BJEIHDPM_00119,appA_1,-5.48299786,7.847387084,-22.79430371,6.44179043511513e-27,2.84227452411582e-25,50.82009771
BJEIHDPM_01967,"inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q02170",-4.903822601,7.716676934,-22.79315833,6.45567666448478e-27,2.84227452411582e-25,50.8634374
BJEIHDPM_01051,inference=ab initio prediction:Prodigal:2.6,-5.380307787,8.071851093,-22.78272497,6.58358063292092e-27,2.87223667794432e-25,50.85374712
BJEIHDPM_01558,inference=ab initio prediction:Prodigal:2.6,-5.393766887,7.741862419,-22.76114306,6.85641964704485e-27,2.96432053028543e-25,50.75108669
BJEIHDPM_00261,5.1.3.37,-5.032747199,8.205239962,-22.72529562,7.33534312843462e-27,3.14306354226409e-25,50.7952025
